trad	vars	cn	tw	hk	jp	jpg	notes
㐹		㐹					
㑊		㑊					
㑮		𫝈					
㑯		㑔					
㑳		㑇					
㑶		㐹					
㒓		𠉂					
㓄		𪠟					
㓨		刾					
㔋		𪟎					
㕮		㕮					
㖮		𪠵					
㗲		𠵾					
㗿		𪡛					
㘉		𠰱					
㘓		𪢌					
㘔		𫬐					
㘚		㘎					
㙍		㙍					
㙘		㙘					
㙦		㙦					
㛃		㛃					
㛚		㛚					
㛝		𫝦					
㛹		㛹					
㜄		㚯					
㜏		㛣					
㜐		𫝧					
㜗		𡞋					
㜢		𡞱					
㜷		𡝠					
㞞		𪨊					
㟃		㟃					
㟺		𪩇					
㠇		㠇					
㠏		㟆					
㠓		㠓					
㠣		𫵷					
㢗		𪪑					
㢝		𢋈					
㥄		㥄					
㥮		㤘					
㦎		𢛯					
㦛		𢗓					
㦞		𪫷					
㨻		𪮃					
㩋		𪮋					
㩜		㨫					
㩳		㧐					
㩵		擜					
㪎		𪯋					
㫰		㫰					
㬊		㬊					
㬎		㬎					
㬚		㬚					
㭕		㭕					
㮾		㮾					
㯤		𣘐					
㰀		㰀					
㰙		𣗙					
㳇		㳇					
㳘		㳘					
㳚		㳚					
㴔		㴔					
㵐		㵐					
㵗		𣳆					
㵾		𪷍					
㶆		𫞛					
㶲		㶲					
㷍		𤆢					
㷿		𤈷					
㸆		㸆					
㸌		㸌					
㹽		𫞣					
㺄		㺄					
㺏		𤠋					
㺜		𪺻					
㻬		㻬					
㻶		𪼋					
㽏		㽏					
㿖		𪽮					
㿗		𤻊					
㿠		㿠					
㿧		𤽯					
䀉		𥁢					
䀹		𥅴					
䁪		𥇢					
䁻		䀥					
䂎		𥎝					
䂮		䂮					
䃎		䃎					
䃮		鿎					
䅐		𫀨					
䅳		𫀬					
䆉		𫁂					
䉑		𫁲					
䉙		𥬀					
䉬		𫂈					
䉲		𥮜					
䉶		𫁷					
䊭		𥺅					
䊷		䌶					
䊺		𫄚					
䋃		𫄜					
䋔		𫄞					
䋙		䌺					
䋚		䌻					
䋦		𫄩					
䋹		䌿					
䋻		䌾					
䋼		𫄮					
䋿		𦈓					
䌈		𦈖					
䌋		𦈘					
䌖		𦈜					
䌝		𦈟					
䌟		𦈞					
䌥		𦈠					
䌰		𦈙					
䍤		𫅅					
䍦		䍠					
䍽		𦍠					
䎃		䎃					
䎖		䎖					
䎙		𫅭					
䎱		䎬					
䏡		䏡					
䏲		䏲					
䐃		䐃					
䓛		䓛					
䓣		𬜯					
䓫		䓫					
䓬		䓬					
䕤		𫟕					
䕳		𦰴					
䖅		𫟑					
䗅		𫊪					
䗛		䗛					
䗪		䗪					
䗴		䗴					
䗿		𧉞					
䙔		𫋲					
䙡		䙌					
䙱		𧜭					
䚩		𫌯					
䛄		𫍠					
䛳		𫍫					
䜀		䜧					
䜖		𫟢					
䝭		𫎧					
䝻		𧹕					
䝼		䞍					
䞈		𧹑					
䞋		𫎪					
䞓		𫎭					
䟃		𫎺					
䟆		𫎳					
䟐		𫎱					
䠆		𫏃					
䠱		𨅛					
䡐		𫟤					
䡩		𫟥					
䡵		𫟦					
䢨		𨑹					
䢺		䢺					
䢼		䢼					
䣘		䣘					
䤤		𫟺					
䥄		𫠀					
䥇		䦂					
䥑		鿏					
䥕		𬭯					
䥗		𫔋					
䥩		𨱖					
䥯		𫔆					
䥱		䥾					
䦘		𨸄					
䦛		䦶					
䦟		䦷					
䦯		𫔵					
䦳		𨷿					
䧢		𨸟					
䪊		𫖅					
䪏		𩏼					
䪗		𩐀					
䪘		𩏿					
䪴		𫖫					
䪾		𫖬					
䫀		𫖱					
䫂		𫖰					
䫟		𫖲					
䫴		𩖗					
䫶		𫖺					
䫻		𫗇					
䫾		𫠈					
䬓		𫗊					
䬘		𩙮					
䬝		𩙯					
䬞		𩙧					
䬧		𫗟					
䭀		𩠇					
䭃		𩠈					
䭑		𫗱					
䭔		𫗰					
䭿		𩧭					
䮄		𫠊					
䮝		𩧰					
䮞		𩨁					
䮠		𩧿					
䮫		𩨇					
䮰		𫘮					
䮳		𩨏					
䮾		𩧪					
䯀		䯅					
䯤		𩩈					
䰾		鲃					
䱀		𫚐					
䱁		𫚏					
䱙		𩾈					
䱧		𫚠					
䱬		𩾊					
䱰		𩾋					
䱷		䲣					
䱸		𫠑					
䱽		䲝					
䲁		鳚					
䲅		𫚜					
䲖		𩾂					
䲘		鳤					
䲰		𪉂					
䳜		𫛬					
䳢		𫛰					
䳤		𫛮					
䳧		𫛺					
䳫		𫛼					
䴉		鹮					
䴋		𫜅					
䴬		𪎈					
䴱		𫜒					
䴴		𪎋					
䴽		𫜔					
䵳		𪑅					
䵴		𫜙					
䶕		𫜨					
䶲		𫜳					
一		一					
丁		丁					
七		七					
万		万					
丈		丈					
三		三					
上		上					
下		下					
不		不					
丏		丏					
丐		丐					
丑		丑					
且		且					
丕		丕					
世		世					
丘		丘					
丙		丙					
丞		丞					
丟	丢	丢					
並	竝	并			並	竝	
个		个					
丫		丫					
中		中					
丰		丰					
串		串					
丸		丸					
丹		丹					
主		主					
乂		乂					
乃		乃					
久		久					
之		之					
乍		乍					
乎		乎					
乏		乏					
乒		乒					
乓		乓					
乖		乖					
乘		乘			乗		
乙		乙					
乜		乜					
九		九					
乞		乞					
也		也					
乩		乩					
乳		乳					
乸		乸					
乾		干 乾					
亂		乱			乱		
了		了					
予		予					
事		事					
二		二					
亍		亍					
于		于					
云		云					
互		互					
亓		亓					
五		五					
井		井					
亘		亘					
亙		亘			亘		
些		些					
亞		亚			亜		
亟		亟					
亡		亡					
亢		亢					
交		交					
亥		亥					
亦		亦					
亨		亨					
享		享					
京		京					
亭		亭					
亮		亮					
亳		亳					
亶		亶					
亹		亹					
人		人					
什		什					
仁		仁					
仂		仂					
仃		仃					
仄		仄					
仆		仆					
仇		仇					
仉		仉					
今		今					
介		介					
仍		仍					
仔		仔					
仕		仕					
他		他					
仗		仗					
付		付					
仙		仙					
仝		仝 同					
仞		仞					
仟		仟					
仡		仡					
代		代					
令		令					
以		以					
仨		仨					
仫		仫					
仰		仰					
仲		仲					
仳		仳					
仵		仵					
件		件					
价		价					
任		任					
份		份					
仿		仿					
企		企					
伈		伈					
伉		伉					
伊		伊					
伋		伋					
伍		伍					
伎		伎					
伏		伏					
伐		伐					
休		休					
伕		夫					
伙		伙					
伢		伢					
伭		伭					
伯		伯					
估		估					
伲		伲					
伴		伴					
伶		伶					
伸		伸					
伺		伺					
似		似					
伽		伽					
伾		伾					
佁		佁					
佃		佃					
但		但					
佇		伫					
佈		布					
位		位					
低		低					
住		住					
佐		佐					
佑		佑					
佔		占					
何		何					
佖		佖					
佗		佗					
佘		佘					
余		余					
佚		佚					
佛		佛			仏		
作		作					
佝		佝					
佞		佞					
佟		佟					
你		你					
佣		佣					
佤		佤					
佩		佩					
佬		佬					
佯		佯					
佰		佰					
佳		佳					
佴		佴					
併		并			併	倂	
佶		佶					
佸		佸					
佺		佺					
佻		佻					
佼		佼					
佽		佽					
佾		佾					
使		使					
侁		侁					
侂		侂					
侃		侃					
侄		侄					
來		来			来		
侈		侈					
侉		侉					
例		例					
侍		侍					
侏		侏					
侑		侑					
侔		侔					
侖		仑					
侗		侗					
侘		侘					
供		供					
依		依					
侮		侮			侮	侮	
侯		侯					
侴		侴					
侵		侵					
侶	侣	侣					
侷		局					
侹		侹					
便		便					
俁	俣	俣					
係		系					
促		促					
俄		俄					
俅		俅					
俊		俊					
俍		俍					
俎		俎					
俏		俏					
俐		俐					
俑		俑					
俓		𠇹					
俔		伣					
俗		俗					
俘		俘					
俙		俙					
俚		俚					
俜		俜					
保		保					
俞		俞					
俟		俟					
俠		侠					
信		信					
俥		伡					
俬		私					
修		修					
俯		俯					
俱		俱					
俳		俳					
俵		俵					
俶		俶					
俸		俸					
俺		俺					
俾		俾					
倀		伥					
倆		俩					
倈		俫					
倉		仓					
個		个					
倌		倌					
倍		倍					
倏		倏					
們		们					
倒		倒					
倓		倓					
倔		倔					
倕		倕					
倖		幸					
倘		倘					
候		候					
倚		倚					
倜		倜					
倞		倞					
借		借					
倡		倡					
倥		倥					
倦		倦					
倧		倧					
倨		倨					
倩		倩					
倪		倪					
倫		伦					
倬		倬					
倭		倭					
倮		倮					
倲		㑈					
倴		倴					
倻		倻					
值		值					
偁		偁					
偃		偃					
假		假			仮		
偈		偈					
偉		伟					
偌		偌					
偎		偎					
偏		偏					
偑		㐽					
偓		偓					
偕		偕					
做		做					
停		停					
偡		偡					
健		健					
偭		偭					
偰		偰					
偲		偲					
側		侧					
偵		侦					
偶		偶					
偷		偷					
傀		傀					
傃		傃					
傅		傅					
傈		傈					
傉		傉					
傌		㐷					
傍		傍					
傑		杰					
傒		傒					
傕		傕					
傖		伧					
傘		伞					
備		备					
傢		家					
傣		傣					
催		催					
傭		佣					
傯	偬	偬					
傲		傲					
傳		传			伝		
傴		伛					
債		债					
傷		伤					
傺		傺					
傻		傻					
傾		倾					
僂		偻					
僅		仅					
僇		僇					
僉		佥					
僎		僎					
像		像					
僑		侨					
僔		僔					
僕		仆					
僖		僖					
僚		僚					
僞	偽	伪	偽	偽	偽		
僤		𫢸					
僥		侥					
僦		僦					
僧		僧			僧	僧	
僨		偾					
僬		僬					
僭		僭					
僮		僮					
僰		僰					
僱		雇					
僳		僳					
僵		僵					
價		价			価		
僻		僻					
儀		仪					
儁		俊					
儂		侬					
億		亿					
儆		儆					
儇		儇					
儈		侩					
儉		俭			倹		
儋		儋					
儎		傤					
儐		傧					
儒		儒					
儔		俦					
儕		侪					
儘		尽 侭					
償		偿					
儡		儡					
儣		𠆲					
儦		儦					
優		优					
儭		𠋆					
儲		储					
儳		儳					
儴		儴					
儷		俪					
儸		㑩					
儺		傩					
儻		傥					
儼		俨					
兀		兀					
允		允					
元		元					
兄		兄					
充		充					
兆		兆					
兇		凶					
先		先					
光		光					
克		克					
兌	兑	兑		兑			
免		免			免	免	
兒		儿			児		
兔		兔					
兕		兕					
兖		兖					
兗		兖					
党		党					
兜		兜					
兢		兢					
入		入					
內	内	内			内		
全		全					
兩		两			両		
八		八					
公		公					
六		六					
兮		兮					
共		共					
兵		兵					
其		其					
具		具					
典		典					
兼		兼					
冀		冀					
冉		冉					
冊	册	册					
再		再					
冏		冏					
冑		胄					
冒		冒					
冔		冔					
冕		冕					
冗		冗					
冠		冠					
冢		冢					
冤		冤					
冥		冥					
冪		幂					
冬		冬					
冮		冮					
冰		冰					
冱		冱					
冶		冶					
冷		冷					
冼		冼					
冽		冽					
准		准					
凇		凇					
凋		凋					
凌		凌					
凍		冻					
凓		凓					
凘		凘					
凙		𪞝					
凜	凛	凛					
凝		凝					
几		几					
凡		凡					
凰		凰					
凱		凯					
凳		凳					
凶		凶					
凸		凸					
凹		凹					
出		出					
凼		凼					
函		函					
刀		刀					
刁		刁					
刃		刃					
分		分					
切		切					
刈		刈					
刊		刊					
刎		刎					
刑		刑					
划		划					
刖		刖					
列		列					
初		初					
判		判					
別	别	别					
刨		刨					
利		利					
刪	删	删					
刮		刮					
到		到					
刳		刳					
制		制					
刷		刷					
券		券					
刺		刺					
刻		刻					
剁	刴	剁					
剃		剃					
剄		刭					
剅		剅					
則		则					
削		削					
剋	尅	克 剋					
剌		剌					
前		前					
剎	刹	刹			刹		
剔		剔					
剕		剕					
剖		剖					
剗		刬					
剛		刚					
剜		剜					
剝	剥	剥					
剞		剞					
剟		剟					
剡		剡					
剩		剩			剰		
剪		剪					
剮		剐					
副		副					
割		割					
剴		剀					
創		创					
剷		铲					
剽		剽					
剾		𠛅					
剿		剿					
劁		劁					
劂		劂					
劃	𠟱	划 㓰					
劄		劄 札					
劇		剧					
劈		劈					
劉		刘					
劊		刽					
劌		刿					
劍	劎 劒 剣 剱 劔	剑			剣		
劏		㓥					
劐		劐					
劑		剂			剤		
劓		劓					
劚		㔉					
力		力					
功		功					
加		加					
劣		劣					
助		助					
努		努					
劫		劫					
劬		劬					
劭		劭					
劼		劼					
劾		劾					
勁		劲					
勃		勃					
勇		勇					
勉		勉			勉	勉	
勍		勍					
勐		勐					
勑		𠡠					
勒		勒					
勔		勔					
動		动					
勖		勖					
勘		勘					
務		务					
勛		勋					
勝		胜					
勞		劳			労		
募		募					
勠		勠					
勢		势					
勣		绩 𪟝					
勤		勤			勤	勤	
勩		勚					
勰		勰					
勱		劢					
勳		勋			勲		
勵		励			励		
勸		劝			勧		
勺		勺					
勻	匀	匀			匀		
勾		勾					
勿		勿					
包		包					
匆		匆					
匈		匈					
匍		匍					
匏		匏					
匐		匐					
匕		匕					
化		化					
北		北					
匙		匙					
匜		匜					
匝		匝					
匠		匠					
匡		匡					
匣		匣					
匪		匪					
匭		匦					
匯	滙	汇					
匱		匮					
匹		匹					
匼		匼					
匾		匾					
匿		匿					
區		区			区		
十		十					
千		千					
卅		卅					
升		升					
午		午					
卉		卉					
半		半					
卑		卑			卑	卑	
卒		卒					
卓		卓					
協		协					
南		南					
博		博					
卜		卜					
卞		卞					
卟		卟					
占		占					
卡		卡					
卣		卣					
卦		卦					
卬		卬					
卮		卮					
卯		卯					
印		印					
危		危					
即	卽	即			即	卽	
卵		卵					
卷		卷			巻		
卸		卸					
卹		恤					
卻	却	却			却		
卿		卿					
厂		厂					
厄		厄					
厖		厖					
厘		厘					
厙		厍					
厚		厚					
厝		厝					
原		原					
厤		历					
厥		厥					
厭		厌					
厲		厉					
厴		厣					
去		去					
厾		厾					
參		参			参		
叄		叁		叁			
又		又					
叉		叉					
及		及					
友		友					
反		反					
叔		叔					
叕		叕					
取		取					
受		受					
叚		叚 假					
叛		叛					
叟		叟					
叢		丛					
口		口					
古		古					
句		句					
另		另					
叨		叨					
叩		叩					
只	𠮡	只					
叫		叫					
召		召					
叭		叭					
叮		叮					
可		可					
台		台					
叱		叱					
史		史					
右		右					
叵		叵					
叶		叶					
司		司					
叻		叻					
叼		叼					
吁		吁					
吃		吃					
各		各					
吆		吆					
合		合					
吉		吉					
吊		吊					
同		同					
名		名					
后		后					
吏		吏					
吐		吐					
向		向					
吒		咤 吒					
吖		吖					
君		君					
吝		吝					
吞		吞					
吟		吟					
吠		吠					
吡		吡					
吣		吣					
否		否					
吧		吧					
吩		吩					
含		含					
吭		吭					
吮		吮					
吱		吱					
吲		吲					
吳	吴	吴			呉		
吵		吵					
吶	呐	呐					
吸		吸					
吹		吹					
吻		吻					
吼		吼					
吽		吽					
吾		吾					
呀		呀					
呂	吕	吕					
呃		呃					
呆	獃	呆					
呇		呇					
呈		呈					
告		告					
呋		呋					
呔		呔					
呢		呢					
呣		呣					
呤		呤					
呦		呦					
周		周					
呱		呱					
呲		呲					
味		味					
呵		呵					
呶		呶					
呷		呷					
呸		呸					
呻		呻					
呼		呼					
命		命					
咀		咀					
咂		咂					
咄		咄					
咆		咆					
咇		咇					
咉		咉					
咋		咋					
和		和					
咍		咍					
咎		咎					
咐		咐					
咒		咒			呪		
咔		咔					
咕		咕					
咖		咖					
咚		咚					
咡		咡					
咣		咣					
咥		咥					
咦		咦					
咧		咧					
咨		咨					
咩		咩					
咪		咪					
咫		咫					
咬		咬					
咯		咯					
咱		咱					
咳		咳					
咴		咴					
咸		咸					
咺		咺					
咻		咻					
咼		呙					
咽		咽					
咿		咿					
哀		哀					
品		品					
哂		哂					
哃		哃					
哄		哄					
哆		哆					
哇		哇					
哈		哈					
哉		哉					
哌		哌					
哎		哎					
哏		哏					
哐		哐					
哚		哚					
哞		哞					
員		员					
哢		哢					
哥		哥					
哦		哦					
哧		哧					
哨		哨					
哩		哩					
哪		哪					
哭		哭					
哮		哮					
哯		𠯟					
哱		哱					
哲		哲					
哳		哳					
哺		哺					
哼		哼					
哽		哽					
哿		哿					
唁		唁					
唄		呗					
唆		唆					
唇		唇					
唉		唉					
唏		唏					
唐		唐					
唑		唑					
唓		𪠳					
唔		唔					
唣		唣					
唧		唧					
唪		唪					
唬		唬					
售		售					
唯		唯					
唰		唰					
唱		唱					
唳		唳					
唵		唵					
唷		唷					
唸		念					
唼		唼					
唾		唾					
唿		唿					
啁		啁					
啃		啃					
啄		啄					
商		商					
啉		啉					
啊		啊					
問		问					
啐		啐					
啓	啟	启	啟	啟			
啕		啕					
啖		啖					
啜		啜					
啞		哑			唖		
啡		啡					
啢		唡					
啤		啤					
啥		啥					
啦		啦					
啪		啪					
啫		啫					
啵		啵					
啶		啶					
啷		啷					
啻		啻					
啼		啼					
啾		啾					
喀		喀					
喁		喁					
喂		喂					
喃		喃					
善		善					
喆		喆 哲					
喇		喇					
喈		喈					
喉		喉					
喊		喊					
喋		喋					
喎		㖞					
喏		喏					
喑		喑					
喔		喔					
喘		喘					
喙		喙					
喚		唤					
喜		喜					
喝		喝			喝	喝	
喟		喟					
喤		喤					
喧		喧					
喪		丧					
喫		吃	吃	吃			
喬		乔					
單		单			単		
喱		喱					
喲		哟					
喳		喳					
喵		喵					
喹		喹					
喻		喻					
嗄		嗄					
嗅		嗅					
嗆		呛					
嗇		啬					
嗉		嗉					
嗊		唝					
嗌		嗌					
嗍		嗍					
嗎		吗					
嗐		嗐					
嗑		嗑					
嗒		嗒					
嗓		嗓					
嗔		嗔					
嗖		嗖					
嗚		呜					
嗜		嗜					
嗝		嗝					
嗞		嗞					
嗟		嗟					
嗡		嗡					
嗣		嗣					
嗤		嗤					
嗥		嗥					
嗦		嗦					
嗨		嗨					
嗩		唢					
嗪		嗪					
嗬		嗬					
嗯		嗯					
嗰		𠮶					
嗲		嗲					
嗵		嗵					
嗶		哔					
嗷		嗷					
嗹		𪡏					
嗽		嗽					
嗾		嗾					
嘀		嘀					
嘁		嘁					
嘆		叹			嘆	嘆	
嘈		嘈					
嘉		嘉					
嘌		嘌					
嘍		喽					
嘎		嘎					
嘏		嘏					
嘓		啯					
嘔		呕					
嘖		啧					
嘗		尝					
嘚		嘚					
嘛		嘛					
嘜		唛					
嘞		嘞					
嘟		嘟					
嘡		嘡					
嘣		嘣					
嘧		嘧					
嘩		哗					
嘪		𪡃					
嘬		嘬					
嘭		嘭					
嘮		唠					
嘯		啸					
嘰		叽					
嘲		嘲					
嘳		𪡞					
嘴		嘴					
嘵		哓					
嘶		嘶					
嘸		呒					
嘹		嘹					
嘺		𪡀					
嘻		嘻					
嘽		啴					
嘿		嘿					
噀		噀					
噁		恶 𫫇					
噂		噂					
噅		𠯠					
噇		噇					
噌		噌					
噍		噍					
噎		噎					
噓	嘘	嘘			嘘		
噔		噔					
噗		噗					
噘		噘					
噙		噙					
噚		㖊					
噝		咝					
噞		𪡋					
噠		哒					
噢		噢					
噤		噤					
噥		哝					
噦		哕					
器		器			器	器	
噩		噩					
噪		噪					
噫		噫					
噬		噬					
噯		嗳					
噱		噱					
噲		哙					
噴		喷					
噶		噶					
噸		吨					
噹		当 𪠽					
噻		噻					
噼		噼					
嚀		咛					
嚄		嚄					
嚅		嚅					
嚆		嚆					
嚇		吓					
嚌		哜					
嚎		嚎					
嚏		嚏					
嚐		尝					
嚓		嚓					
嚕		噜					
嚙		啮			噛		
嚚		嚚					
嚛		𪠸					
嚥		咽					
嚦		呖					
嚧		𠰷					
嚨		咙					
嚭		嚭					
嚮		向					
嚯		嚯					
嚲		亸					
嚳		喾					
嚴		严			厳		
嚶		嘤					
嚷		嚷					
嚼		嚼					
嚽		𪢕					
囀		啭					
囁		嗫					
囂		嚣					
囃		𠱞					
囅		冁					
囈		呓					
囉		啰					
囊		囊					
囌		苏					
囑		嘱			嘱		
囒		𪢠					
囔		囔					
囚		囚					
四		四					
回	囘 囬	回					
囟		囟					
因		因					
囡		囡					
囤		囤					
囪	囱	囱		囱			
囫		囫					
困		困					
囷		囷					
囹		囹					
固		固					
囿		囿					
圃		圃					
圄		圄					
圇		囵					
圈		圈			圏		
圉		圉					
圊		圊					
國		国			国		
圌		圌					
圍		围			囲		
圐		圐					
園		园					
圓		圆			円		
圖		图			図		
團		团			団		
圙		圙					
圜		圜					
圞		𪢮					
土		土					
圢		圢					
在		在					
圩		圩					
圪		圪					
圫		圫					
圬		圬					
圭		圭					
圮		圮					
圯		圯					
地		地					
圲		圲					
圳		圳					
圻		圻					
圾		圾					
址		址					
均		均					
坉		坉					
坊		坊					
坋		坋					
坌		坌					
坍		坍					
坎		坎					
坐		坐					
坑		坑					
坒		坒					
坡		坡					
坤		坤					
坥		坥					
坦		坦					
坨		坨					
坩		坩					
坪		坪					
坫		坫					
坬		坬					
坭		坭					
坯		坯					
坰		坰					
坳		坳					
坷		坷					
坻		坻					
坼		坼					
坽		坽					
垂		垂					
垃		垃					
垈		垈					
型		型					
垌		垌					
垍		垍					
垎		垎					
垏		垏					
垓		垓					
垕		垕					
垙		垙					
垚		垚					
垛	垜	垛					
垞		垞					
垟		垟					
垠		垠					
垡		垡					
垢		垢					
垣		垣					
垤		垤					
垧		垧					
垮		垮					
垵		垵					
垸		垸					
垺		垺					
垻		坝					
垾		垾					
垿		垿					
埂		埂					
埃		埃					
埆		埆					
埇		埇					
埋		埋					
埌		埌					
城		城					
埏		埏					
埒		埒					
埔		埔					
埕		埕					
埗		埗					
埝		埝					
域		域					
埠		埠					
埡		垭					
埤		埤					
埨		𫭢					
埪		埪					
埫		埫					
埬		𪣆					
埭		埭					
埯		埯					
埰		采					
埴		埴					
埵		埵					
執		执					
埸		埸					
培		培					
基		基					
埼	碕	埼					
埽		埽					
堂		堂					
堃		堃 坤					
堅		坚					
堆		堆					
堇		堇					
堉		堉					
堊		垩					
堋		堋					
堌		堌					
堍		堍					
堎		堎					
堐		堐					
堖		垴					
堙		堙					
堚		𪣒					
堝		埚					
堞		堞					
堠		堠					
堡		堡					
堤		堤					
堧		堧					
堨		堨					
堪		堪					
堯		尧					
堰		堰					
報		报					
堲		堲					
場		场					
堵		堵					
堼		堼					
堽		堽					
堾		堾					
塀	塀				塀	塀	
塄		塄					
塅		塅					
塊		块					
塋		茔					
塌		塌					
塍		塍					
塏		垲					
塑		塑					
塒		埘					
塔		塔					
塗		涂					
塘		塘					
塚		冢			塚	塚	
塝		塝					
塞		塞					
塢		坞					
塤		埙					
塥		塥					
填		填					
塬		塬					
塱		塱					
塵		尘					
塸		𫭟					
塹		堑					
塾		塾					
塿		𪣻					
墀		墀					
墁		墁					
境		境					
墅		墅					
墈		墈					
墉		墉					
墊		垫					
墐		墐					
墒		墒					
墓		墓					
墕		墕					
墘		墘					
墚		墚					
墜		坠					
增		增			増		
墟		墟					
墠		𫮃					
墡		墡					
墣		墣					
墦		墦					
墨		墨			墨	墨	
墩		墩					
墮		堕			堕		
墲		𪢸					
墳		坟					
墶		垯					
墼		墼					
墾		垦					
壁		壁					
壅		壅					
壇	墰 壜 罎	坛					
壈		𡒄					
壋		垱					
壎		埙					
壑		壑					
壓		压			圧		
壕		壕					
壗		𡋤					
壘		垒			塁		
壙		圹					
壚		垆					
壞		坏			壊		
壟		垄					
壠		垅					
壢		坜					
壣		𪤚					
壤		壤			壌		
壩		坝					
壪		塆					
士		士					
壬		壬					
壯		壮			壮		
壹		壹			壱		
壺	壷	壶					
壼		壸					
壽		寿			寿		
夏		夏					
夐		夐					
夔		夔					
夕		夕					
外		外					
夙		夙					
多		多					
夜		夜					
夠	够	够					
夢		梦					
夤		夤					
夥		伙 夥					
大		大					
天		天					
太		太					
夫		夫					
夬		夬					
夭		夭					
央		央					
夯		夯					
失		失					
夷		夷					
夸		夸					
夼		夼					
夾		夹					
奄		奄					
奇		奇					
奈		奈					
奉		奉					
奎		奎					
奏		奏					
奐		奂					
契		契					
奓		奓					
奔		奔					
奕		奕					
套		套					
奘		奘					
奚		奚					
奠		奠					
奡		奡					
奢		奢					
奧	奥	奥			奥		
奩		奁					
奪		夺					
奭		奭					
奮		奋					
女		女					
奴		奴					
奶		奶					
